Index	Label
0	2
1	1
2	8
3	4
4	1
5	9
6	2
7	2
8	0
9	2
10	6
11	9
12	0
13	7
14	5
15	4
16	0
17	1
18	8
19	0
20	4
21	2
22	6
23	7
24	0
25	6
26	4
27	0
28	3
29	1
30	2
31	7
32	1
33	2
34	5
35	5
36	8
37	6
38	6
39	4
40	5
41	1
42	2
43	9
44	4
45	9
46	3
47	1
48	2
49	9
50	0
51	8
52	9
53	1
54	3
55	3
56	1
57	3
58	6
59	7
60	0
61	9
62	3
63	4
64	6
65	2
66	7
67	1
68	3
69	7
70	6
71	6
72	0
73	4
74	9
75	2
76	5
77	6
78	3
79	4
80	9
81	8
82	6
83	4
84	4
85	0
86	3
87	5
88	6
89	1
90	7
91	4
92	5
93	2
94	5
95	0
96	3
97	2
98	8
99	0
100	2
101	4
102	7
103	8
104	1
105	7
106	1
107	9
108	7
109	8
110	9
111	1
112	7
113	1
114	8
115	5
116	1
117	1
118	4
119	4
120	6
121	3
122	8
123	5
124	3
125	4
126	6
127	2
128	2
129	7
130	7
131	9
132	5
133	0
134	7
135	0
136	4
137	0
138	7
139	5
140	8
141	9
142	8
143	5
144	9
145	2
146	0
147	6
148	2
149	9
150	3
151	6
152	9
153	4
154	6
155	3
156	5
157	1
158	3
159	2
160	0
161	3
162	5
163	3
164	2
165	5
166	3
167	5
168	9
169	5
170	6
171	9
172	1
173	4
174	0
175	2
176	7
177	0
178	0
179	9
180	9
181	7
182	4
183	4
184	6
185	9
186	7
187	9
188	3
189	1
190	6
191	8
192	9
193	6
194	7
195	8
196	3
197	5
198	5
199	2
200	8
201	7
202	8
203	2
204	1
205	6
206	2
207	8
208	4
209	4
210	4
211	1
212	3
213	0
214	7
215	8
216	2
217	1
218	0
219	5
220	2
221	4
222	7
223	0
224	4
225	3
226	2
227	3
228	7
229	7
230	9
231	9
232	2
233	1
234	3
235	0
236	9
237	9
238	0
239	5
240	8
241	5
242	5
243	9
244	0
245	0
246	6
247	2
248	5
249	3
250	6
251	2
252	9
253	7
254	0
255	9
256	2
257	2
258	9
259	6
260	3
261	3
262	1
263	7
264	3
265	2
266	9
267	6
268	3
269	5
270	8
271	4
272	3
273	0
274	8
275	6
276	9
277	7
278	9
279	2
280	1
281	3
282	1
283	2
284	8
285	6
286	2
287	4
288	6
289	7
290	7
291	2
292	6
293	3
294	3
295	7
296	6
297	5
298	1
299	9
300	5
301	1
302	3
303	8
304	4
305	6
306	1
307	7
308	5
309	5
310	4
311	8
312	9
313	3
314	0
315	1
316	9
317	6
318	5
319	4
320	6
321	7
322	9
323	6
324	1
325	5
326	2
327	8
328	4
329	3
330	7
331	5
332	9
333	2
334	1
335	5
336	9
337	2
338	0
339	3
340	0
341	0
342	5
343	4
344	7
345	3
346	0
347	8
348	6
349	7
350	8
351	1
352	0
353	1
354	6
355	7
356	2
357	8
358	5
359	7
360	1
361	0
362	9
363	8
364	4
365	1
366	7
367	4
368	3
369	3
370	8
371	2
372	0
373	5
374	8
375	0
376	5
377	9
378	4
379	1
380	3
381	5
382	7
383	8
384	4
385	3
386	4
387	1
388	4
389	5
390	8
391	9
392	6
393	2
394	1
395	8
396	0
397	9
398	3
399	9
400	0
401	1
402	1
403	0
404	2
405	4
406	6
407	4
408	8
409	2
410	2
411	4
412	3
413	1
414	0
415	8
416	5
417	4
418	9
419	8
420	7
421	6
422	9
423	6
424	1
425	3
426	1
427	9
428	7
429	9
430	9
431	3
432	6
433	0
434	0
435	0
436	8
437	7
438	2
439	3
440	0
441	0
442	3
443	8
444	5
445	6
446	1
447	0
448	2
449	0
450	3
451	7
452	5
453	2
454	7
455	1
456	4
457	9
458	5
459	5
460	5
461	3
462	1
463	7
464	4
465	2
466	6
467	6
468	9
469	6
470	1
471	4
472	2
473	7
474	8
475	9
476	1
477	3
478	2
479	9
480	3
481	7
482	4
483	6
484	9
485	4
486	0
487	7
488	2
489	7
490	5
491	4
492	3
493	2
494	3
495	0
496	9
497	6
498	0
499	6
500	6
501	4
502	0
503	4
504	0
505	7
506	3
507	2
508	6
509	0
510	5
511	3
512	0
513	0
514	2
515	2
516	6
517	1
518	1
519	1
520	3
521	3
522	6
523	8
524	2
525	7
526	3
527	5
528	6
529	3
530	1
531	2
532	2
533	5
534	2
535	8
536	9
537	1
538	1
539	6
540	0
541	4
542	3
543	0
544	6
545	3
546	1
547	6
548	8
549	2
550	1
551	4
552	0
553	8
554	2
555	3
556	4
557	9
558	9
559	9
560	2
561	4
562	6
563	4
564	4
565	1
566	5
567	8
568	6
569	8
570	3
571	1
572	9
573	6
574	7
575	1
576	7
577	6
578	4
579	6
580	2
581	6
582	4
583	4
584	0
585	0
586	7
587	5
588	2
589	5
590	2
591	0
592	4
593	3
594	5
595	7
596	1
597	4
598	8
599	6
600	6
601	6
602	3
603	9
604	9
605	2
606	0
607	9
608	7
609	6
610	4
611	1
612	5
613	8
614	3
615	9
616	0
617	4
618	6
619	2
620	3
621	4
622	1
623	3
624	5
625	2
626	2
627	3
628	2
629	6
630	8
631	8
632	0
633	3
634	5
635	0
636	5
637	3
638	1
639	5
640	4
641	8
642	7
643	9
644	7
645	5
646	0
647	5
648	9
649	2
650	3
651	1
652	4
653	8
654	9
655	2
656	3
657	9
658	1
659	0
660	4
661	3
662	3
663	4
664	0
665	3
666	5
667	9
668	9
669	6
670	0
671	1
672	1
673	4
674	5
675	6
676	1
677	7
678	5
679	7
680	5
681	3
682	0
683	7
684	5
685	9
686	1
687	3
688	0
689	9
690	1
691	4
692	8
693	8
694	5
695	0
696	6
697	4
698	1
699	6
700	5
701	1
702	0
703	9
704	9
705	9
706	7
707	0
708	4
709	7
710	1
711	1
712	5
713	4
714	2
715	9
716	9
717	9
718	9
719	3
720	8
721	7
722	3
723	3
724	4
725	7
726	0
727	0
728	8
729	5
730	1
