Index	Label
0	4
1	1
2	0
3	7
4	8
5	1
6	2
7	7
8	1
9	6
10	6
11	4
12	7
13	7
14	3
15	3
16	7
17	9
18	9
19	1
20	0
21	6
22	6
23	9
24	9
25	4
26	8
27	9
28	4
29	7
30	3
31	3
32	0
33	9
34	4
35	9
36	0
37	6
38	8
39	4
40	7
41	2
42	6
43	0
44	3
45	1
46	1
47	7
48	2
49	4
50	4
51	6
52	5
53	1
54	9
55	3
56	2
57	4
58	3
59	4
60	4
61	7
62	5
63	8
64	1
65	1
66	4
67	1
68	5
69	3
70	5
71	8
72	4
73	1
74	1
75	4
76	5
77	3
78	2
79	4
80	1
81	4
82	8
83	1
84	2
85	1
86	9
87	0
88	7
89	6
90	7
91	4
92	4
93	9
94	7
95	5
96	6
97	8
98	4
99	6
100	9
101	2
102	9
103	4
104	4
105	9
106	5
107	4
108	5
109	7
110	7
111	1
112	8
113	3
114	7
115	9
116	8
117	4
118	9
119	2
120	8
121	0
122	3
123	9
124	4
125	7
126	6
127	6
128	1
129	4
130	0
131	2
132	9
133	1
134	7
135	7
136	4
137	1
138	8
139	5
140	0
141	5
142	0
143	9
144	6
145	3
146	8
147	9
148	9
149	7
150	3
151	1
152	2
153	2
154	7
155	8
156	6
157	4
158	0
159	6
160	2
161	4
162	2
163	4
164	8
165	9
166	8
167	5
168	9
169	8
170	4
171	7
172	6
173	9
174	3
175	9
176	9
177	8
178	9
179	4
180	1
181	1
182	8
183	5
184	9
185	9
186	2
187	3
188	8
189	7
190	1
191	4
192	2
193	2
194	4
195	8
196	6
197	1
198	4
199	2
200	0
201	5
202	1
203	1
204	8
205	5
206	6
207	6
208	0
209	8
210	1
211	5
212	9
213	2
214	2
215	2
216	0
217	4
218	5
219	9
220	8
221	3
222	2
223	0
224	2
225	9
226	4
227	4
228	9
229	5
230	9
231	9
232	2
233	5
234	9
235	6
236	0
237	9
238	1
239	8
240	6
241	9
242	8
243	1
244	5
245	8
246	6
247	7
248	5
249	1
250	4
251	7
252	5
253	6
254	6
255	4
256	3
257	1
258	5
259	6
260	0
261	3
262	1
263	8
264	9
265	8
266	9
267	9
268	0
269	8
270	2
271	3
272	2
273	7
274	5
275	4
276	9
277	2
278	0
279	0
280	6
281	6
282	3
283	4
284	2
285	2
286	3
287	6
288	8
289	5
290	5
291	5
292	6
293	2
294	7
295	9
296	3
297	7
298	6
299	1
300	2
301	1
302	1
303	4
304	4
305	9
306	3
307	1
308	3
309	9
310	8
311	4
312	1
313	7
314	0
315	5
316	0
317	0
318	9
319	8
320	5
321	6
322	1
323	8
324	3
325	3
326	3
327	2
328	1
329	4
330	1
331	8
332	1
333	3
334	7
335	6
336	5
337	9
338	6
339	6
340	2
341	8
342	1
343	9
344	9
345	1
346	6
347	3
348	5
349	1
350	0
351	1
352	8
353	1
354	6
355	1
356	5
357	2
358	5
359	4
360	1
361	6
362	9
363	8
364	1
365	9
366	4
367	1
368	3
369	8
370	4
371	1
372	2
373	0
374	6
375	8
376	0
377	5
378	5
379	2
380	6
381	5
382	7
383	6
384	1
385	7
386	7
387	8
388	2
389	4
390	0
391	3
392	2
393	5
394	7
395	8
396	8
397	3
398	3
399	1
400	9
401	7
402	0
403	8
404	5
405	1
406	8
407	8
408	4
409	0
410	3
411	6
412	5
413	2
414	4
415	9
416	9
417	8
418	5
419	3
420	4
421	7
422	8
423	6
424	9
425	8
426	5
427	9
428	7
429	6
430	7
431	4
432	9
433	2
434	7
435	8
436	6
437	2
438	8
439	6
440	1
441	5
442	6
443	9
444	4
445	5
446	1
447	8
448	4
449	0
450	7
451	7
452	7
453	9
454	3
455	8
456	9
457	8
458	6
459	2
460	6
461	6
462	8
463	1
464	3
465	7
466	2
467	9
468	5
469	0
470	3
471	7
472	6
473	4
474	6
475	2
476	8
477	2
478	7
479	8
480	8
481	4
482	0
483	9
484	3
485	7
486	2
487	7
488	8
489	4
490	7
491	0
492	3
493	1
494	0
495	5
496	7
497	2
498	1
499	9
500	0
501	9
502	0
503	4
504	0
505	4
506	8
507	0
508	1
509	1
510	9
511	7
512	1
513	2
514	1
515	1
516	9
517	4
518	0
519	6
520	2
521	3
522	1
523	4
524	7
525	8
526	7
527	0
528	3
529	1
530	8
531	2
532	5
